"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"527568626904498176","","","2014-10-29 21:12:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @WashFellowship: ONE WEEK TO GO! #YALI2015 apps are due Wed, Nov 5! Finish yours today at http://t.co/VVXOfFnWrS #YALICHAT @YALINetwork …","527448721068683264","2231782800","2014-10-29 13:15:49 +0000","http://yali.state.gov/washington-fellowship/apply,http://yali.state.gov/washington-fellowship/apply"
"527568355922702336","","","2014-10-29 21:11:12 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Answers to Your Questions About the 2015 Mandela Washington Fellowship https://t.co/5g6LBdk98L via @YALINetwork","","","","https://youngafricanleaders.state.gov/applying-to-be-a-mandela-washington-fellow-live-video-qa-event/"
"527473073369665537","","","2014-10-29 14:52:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Good to connect with Paige @BoosterLLC to think of creative ideas to promote #rights @DisabRightsFund @mnnconf2014","","","",""
"527472311788929025","","","2014-10-29 14:49:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Very excited to make new connections @MA_NonprofitNet and talk about @DisabRightsFund at #mnnconf2014!","","","",""
"527165162252697601","","","2014-10-28 18:29:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @schumanaffairs: Human Rights Video: UNITED Song: http://t.co/2IamQvoiDe via @YouTube Great song and video.  We should all live UNITED. …","525348179789631488","2810679123","2014-10-23 18:09:01 +0000","http://youtu.be/nptzg2odTKw,http://youtu.be/nptzg2odTKw"
"527162486995169281","","","2014-10-28 18:18:25 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Why Teaching Kindness in Schools Is Essential to Reduce Bullying: http://t.co/Smx0sKcZHA via @edutopia","","","","http://edut.to/1pk6N1W"
"526727362042675201","","","2014-10-27 13:29:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @SenseInternatl: This week children in #Tanzania will receive the rubella vaccination. Find out more: http://t.co/61qcUVgjyN http://t.co…","524180980098424832","1964674370","2014-10-20 12:50:59 +0000","http://www.senseinternational.org.uk/news/sense-international-welcomes-rubella-vaccination-drive-tanzania,http://twitter.com/SenseInternatl/status/524180980098424832/photo/1,http://www.senseinternational.org.uk/news/sense-international-welcomes-rubella-vaccination-drive-tanzania,http://twitter.com/SenseInternatl/status/524180980098424832/photo/1"
"526726814639874048","","","2014-10-27 13:27:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Good resource for accessible attractions, restaurants, etc..Check out the latest blog post at http://t.co/nJJCbpeVQX !","","","","http://www.disabledonthego.com"
"525362498418262017","","","2014-10-23 19:05:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@DisabilityRightsFund celebrates national #pbweek THANK YOU @goulstonstorrs in Boston for your generous support!","","","",""
"525360186517495808","","","2014-10-23 18:56:43 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","No Limits Media Fundraise Trailer: http://t.co/TAGzIoUA6r via @YouTube @DisabRightsFund will be at tonights event will you?","","","","http://youtu.be/4ghIdOQRg8I"
